Име,Опис,Линк до слика на продукт,Достапни величини,Достапни бои,Линк до продукт,Цена,Намалена цена,Валута,Категорија
GEO SOFTSHELL II,"Софтшел Панталони
Водоодбивни и ветероотпорни
Изработени од многу дишлив (10.000g/m2/24hrs) и стреч материјал",https://www.scout.mk/wp-content/uploads/2022/10/RMJ117_800_P_3-600x600.jpg,44,black,https://www.scout.mk/product/geo-softshell-ii-rmj117l/,5190,5190,МКД,maski
Glacier Canyon Parka 1107674,"Парка
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 6.000 > g/m²/24h
Робусна и добро поставена и полнета со синтетичко полнење",https://www.scout.mk/wp-content/uploads/2022/10/1107674_1010_A020-600x600.png,"l, m, s, xl, xxl, xxxl","green, navy, navy, navy, navy, navy",https://www.scout.mk/product/glacier-canyon-parka-1107674/,20290,20290,МКД,maski
Go Hike Jacket M 1114051,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 20.000 mm
Дишливост: 15.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2023/05/1114051_1278_A020.tif-600x600.png,"l, m, xl, xxxl","grey, grey, grey, grey",https://www.scout.mk/product/go-hike-jacket-m-1114051/,12990,12990,МКД,maski
Grands Montets Ii Gtx J M MIV9045,Јакна со двослојна GoreTex мембранаВодоотпорност 20.000mmДишлива и отпорна на ветер,https://www.scout.mk/wp-content/uploads/2021/12/miv9045-9454-600x600.jpg,"l, m, m, xl, xxl","black, black, black, red, red",https://www.scout.mk/product/grands-montets-ii-gtx-j-m-miv9045/,19490,19490,МКД,maski
HEDMAN II,"Флис со полупатент
Изработен од стреч материјал со средна топлотна изолација",https://www.scout.mk/wp-content/uploads/2025/02/RMA192_808_P_A-4.jpg,"l, l, m, m, m, s, xl, xl, xl, xl, xxl, xxl","black, black, black, black, green, green, grey, grey, navy, navy, navy, navy",https://www.scout.mk/product/hedman-ii/,2163,3090,МКД,maski
Helium Men 1200573,"Полнета Јакна / Монтка со капуљача
Полнета со пердув",https://www.scout.mk/wp-content/uploads/2022/10/1200573_4129_A010-600x600.png,xxl,black,https://www.scout.mk/product/helium-men-1200573/,10990,10990,МКД,maski
High Coast Wind Jkt F82606,"Лесна, дишлива јакна која се пакува. Изработена од восочен полиамид/органски памук, совршена за дневни патувања.",https://www.scout.mk/wp-content/uploads/2024/03/High_Coast_Wind_Jacket_M_82606-560_A_MAIN_FJR-6-600x600.png,"l, m, xl, xl","green, green, green, navy",https://www.scout.mk/product/high-coast-wind-jkt-f82606/,12990,12990,МКД,maski
HIGHTON M,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 10.000 > g/m²/24h
Поставена со мрежа",https://www.scout.mk/wp-content/uploads/2023/12/RMW357_61G_P_A-600x600.jpg,"l, m, xl","black, red, red",https://www.scout.mk/product/highton-m-rmw357/,6790,6790,МКД,maski
Hiking Pro Low Cut 1904092,"Функционални Чорапи
Изработени од растеглив и брсосушечки материјал, со зони за заштита на стопалото при движење",https://www.scout.mk/wp-content/uploads/2021/05/1904092-6113-9-A300-hiking-pro-low-cut-light-grey-600x600.png,38-40,grey,https://www.scout.mk/product/hiking-pro-low-cut-1904092/,990,990,МКД,maski
HILLPACK B/W II,Елек,https://www.scout.mk/wp-content/uploads/2024/12/RMB141-800.jpg,"l, m, s, s, xl, xl","black, black, black, navy, navy, navy",https://www.scout.mk/product/hillpackb-wii-m-rmb141/,3390,3390,МКД,maski
HILLPACK B/W II,Машки полнет спортски елек,https://www.scout.mk/wp-content/uploads/2025/02/RMB141-800.jpg,"l, l, m, m, s, s, xl, xl","black, black, black, black, navy, navy, navy, navy",https://www.scout.mk/product/hillpack-b-w-ii/,3390,3390,МКД,maski
HILLPACK B/W M,"Елек со полнење со средна тежина, издржлив водоотпорен финиш и топлинска изолација",https://www.scout.mk/wp-content/uploads/2023/12/RMB112_800_P_1-600x600.jpg,"l, m, m, xl, xl","black, black, navy, navy, navy",https://www.scout.mk/product/hillpack-b-w-m-rmb112/,4290,4290,МКД,maski
HOODED HILLPACK III,Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RMN272-800.jpg,"l, l, m, m, xl, xl, xxl, xxl","blue, blue, blue, blue, red, red, red, red",https://www.scout.mk/product/hoodedhillpackiii-m-rmn272/,5590,5590,МКД,maski
Hybri Gtx J M MIV9328,Јакна со хибридна Dual Tech конструкција со особено издржлива трислојна ткаенина GORE-TEX на ракавите и рамената комбинирана со особено лесен GORE-TEX Paclite® материјал на останатите делови на телото Дишливост : RET < 9m².Pa/W Водоотпорност: 28 000 mm,https://www.scout.mk/wp-content/uploads/2023/12/MIV9328-9573-600x600.png,"m, xl, xl","grey, grey, yellow",https://www.scout.mk/product/hybri-gtx-j-m-miv9328/,22990,22990,МКД,maski
Jasper M 1108372,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 6.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2023/05/1108372_1278_A020-600x600.png,xl,blue,https://www.scout.mk/product/jasper-m-1108372/,13990,13990,МКД,maski
Kamet Light Gjm MIV7739,"Хардшел Jакна со GORE-TEX®® 3L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 28.000 mm
Дишливост: ret < 9m²pa.w",https://www.scout.mk/wp-content/uploads/2021/05/MIV7739-9451-600x600.jpg,"l, l, m, m, xxl","blue, blue, blue, red, red",https://www.scout.mk/product/kamet-light-gjm-miv7739/,26490,26490,МКД,maski
KARTER II M,"Маица на долги ракави
Изработена од 60% памук и 40% полиестер",https://www.scout.mk/wp-content/uploads/2023/12/RMT219_800_P_A-600x600.jpg,"xl, xl","black, navy",https://www.scout.mk/product/karter-ii-m-rmt219/,1690,1690,МКД,maski
LANCE,Машка карирана смарт-кежуал кошула од мешавина памук,https://www.scout.mk/wp-content/uploads/2025/02/RMS157-Y4KS.jpg,"l, m, s, xl","navy, navy, navy, navy",https://www.scout.mk/product/lance/,3090,3090,МКД,maski
LIFA MERINO MIDWEIGHT CREW,"Технички бејзлејер кој обезбедува топлина, заштита од влага и комфорт при секакви активности",https://www.scout.mk/wp-content/uploads/2023/12/49364_543-600x600.jpg,xxl,blue,https://www.scout.mk/product/lifa-merino-midweight-crew-49364_543/,5490,5490,МКД,maski
Lightgrid H M MIV9466,"Флис со капуљача
Изработен од стреч материјал Лесен, тенок и дишлив погоден за секаква активност преку цела година",https://www.scout.mk/wp-content/uploads/2023/12/MIV9466-9781-600x600.png,xl,blue,https://www.scout.mk/product/lightgrid-h-m-miv9466/,7790,7790,МКД,maski
Lightgrid Ј M MIV9467,"Флис
Изработен од стреч материјал Лесен, тенок и дишлив погоден за секаква активност преку цела година",https://www.scout.mk/wp-content/uploads/2023/12/MIV9467-7487-1-600x600.png,m,olive,https://www.scout.mk/product/lightgrid-%d1%98-m-miv9467/,6490,6490,МКД,maski
Lokka Hd Iii M MIV9714,"Флис
Изработен од стреч материјал Лесен, тенок и дишлив погоден за секаква активност",https://www.scout.mk/wp-content/uploads/2023/03/MIV9714_9646_C3E_0.webp-600x600.png,"l, l","blue, orange",https://www.scout.mk/product/lokka-hd-iii-m-miv9714/,7090,7090,МКД,maski
LYLE IV,Машка водоотпорна јакна,https://www.scout.mk/wp-content/uploads/2025/02/RMW283_8PQ_P_A-5-600x600.jpg,"l, l, l, l, m, m, m, m, m, s, xl, xl, xxl, xxl, xxl, xxxl, xxxl","black, black, black, black, blue, blue, blue, green, green, green, green, green, navy, navy, navy, navy, orange",https://www.scout.mk/product/lyle-iv/,4890,4890,МКД,maski
Man Bermuda 31T5637,"Бермуди, брзосушечки и четиринасочно растегливи",https://www.scout.mk/wp-content/uploads/2023/04/31T5637_F832_A-600x600.png,"50, 50, 52","black, black, grey",https://www.scout.mk/product/man-bermuda-31t5637/,2690,2690,МКД,maski
Man Bermuda 31T5637,"Бермуди, брзосушечки и четиринасочно растегливи",https://www.scout.mk/wp-content/uploads/2024/04/31T5637_E452_A-8.png,"48, 50, 50, 52, 52, 54, 54, 56","black, black, black, black, grey, grey, grey, stilston",https://www.scout.mk/product/man-bermuda-31t5637-2/,2690,2690,МКД,maski
Man Bermuda 33T5497,"Бермуди, брзосушечки и четиринасочно растегливи, со УВ 30",https://www.scout.mk/wp-content/uploads/2024/04/33T5497_L565_A-4.png,"48, 50, 50, 50, 52, 52, 54","black, black, black, blue, blue, blue, blue",https://www.scout.mk/product/man-bermuda-33t5497/,3490,3490,МКД,maski
Man Fleece Headband 6534003,Машка трака за глава од флис,https://www.scout.mk/wp-content/uploads/2022/12/6534003_E112_A-600x600.png,,"black, grey, lime",https://www.scout.mk/product/man-fleece-headband-6534003/,690,690,МКД,maski
Man Hat 6505502,"Капа со топла внатрешност што може да се носи за сите активности на отворено, како скијање, трчање или само за пешачење.",https://www.scout.mk/wp-content/uploads/2024/02/6505502_83UP_A-1-600x600.png,u,grey,https://www.scout.mk/product/man-hat-6505502/,1190,1190,МКД,maski
Man Hat 6505527,Капа,https://www.scout.mk/wp-content/uploads/2024/04/6505527_A001_A.png,"u, u, u","blue, lime, white",https://www.scout.mk/product/man-hat-6505527/,1390,1390,МКД,maski
Man Jacket 30H5887,"Флис без капуњача
Тенок, изработен од плетен полиестер",https://www.scout.mk/wp-content/uploads/2023/04/30H5887_15EN_A-600x600.png,56,turquoise,https://www.scout.mk/product/man-jacket-30h5887/,3490,3490,МКД,maski
Man Jacket 33H2347,"Флис без капуњача. Изработен од поларен материјал
Тенок, изработен од плетен полиестер",https://www.scout.mk/wp-content/uploads/2024/04/33H2347_F876_A-4.png,"48, 50, 52, 54, 54","green, green, grey, grey, grey",https://www.scout.mk/product/man-jacket-33h2347/,2490,2490,МКД,maski
Man Jacket 3C46777T,"Јакна шушкавец
Водоодбивна и ветероодбивна
се пакува во еден од џебовите",https://www.scout.mk/wp-content/uploads/2023/04/3C46777T_U901-4-600x600.jpg,"48, 50","black, orange",https://www.scout.mk/product/man-jacket-3c46777t/,4190,4190,МКД,maski
Man Jacket 3C46777T,Јакна шушкавец со практична опција за пакување во еден од џебовите,https://www.scout.mk/wp-content/uploads/2024/04/3C46777T_C706_A.png,"48, 48, 50, 52, 52, 54, 54","black, black, black, black, orange, orange, orange",https://www.scout.mk/product/man-jacket-3c46777t-2/,4190,4190,МКД,maski
MAN JACKET FIX HOOD,"Машка јакна
Водоотпорна и ветероотпорна",https://www.scout.mk/wp-content/uploads/2025/02/32Z1847-E9-5.jpg,"48, 48, 50, 50, 50, 52, 52, 52, 52, 54, 54, 56, 56, 56, 58","black, black, black, black, black, black, black, black, grey, grey, grey, grey, grey, grey, grey",https://www.scout.mk/product/man-jacket-fix-hood/,3913,5590,МКД,maski
MAN JACKET FIX HOOD 32Z1847,Машка водоотпорна јакна со капуљача,https://www.scout.mk/wp-content/uploads/2023/11/32Z1847_U901_A-600x600.png,"48, 50, 52, 52, 54, 54, 58","black, black, black, blue, blue, green, green",https://www.scout.mk/product/man-jacket-fix-hood-32z1847/,6190,6190,МКД,maski
Man Jacket Fix Hood 32Z5077,"Хардшел јакна со ClimaProtect мембрана со висока заштита воедно удобна и дозволува движењацпотребни за поинтензивни активности на отворено. Водоотпорност 10.000
Дишливост 10.000.",https://www.scout.mk/wp-content/uploads/2022/07/32Z5077_U423_A-600x600.jpg,48,grey,https://www.scout.mk/product/man-jacket-fix-hood-32z5077/,8290,8290,МКД,maski
Man Jacket Fix Hood 32Z5077,"Хардшел јакна со 2,5 слоја со мембрана ClimaProtect гарантира заштита од сите временски услови и висока можност за дишење (WP 10.000, MVP 10.000).",https://www.scout.mk/wp-content/uploads/2024/04/32Z5077_M951_A-4.png,"52, 54","blue, blue",https://www.scout.mk/product/man-jacket-fix-hood-32z5077-2/,8290,8290,МКД,maski
Man Jacket Fix Hood 33Z5047,"Хардшел Јакна,
Ветроодбивна и водоотпорна јакна. Водоотпорност 10 000WP Дишливост 10 000g/m2/24h
Се пакува",https://www.scout.mk/wp-content/uploads/2023/04/33Z5047_U423_A-600x600.png,50,grey,https://www.scout.mk/product/man-jacket-fix-hood-33z5047/,8290,8290,МКД,maski
Man Jacket Fix Hood 3H60847N,"Плетен Флис со капуљача
Високо дишлив и топол",https://www.scout.mk/wp-content/uploads/2024/02/3H60847N_25UP_A-4-600x600.png,"50, 58","grey, grey",https://www.scout.mk/product/man-jacket-fix-hood-3h60847n/,4590,4590,МКД,maski
Man Jacket Hybrid 33H2057,Машка хибридна јакна,https://www.scout.mk/wp-content/uploads/2024/02/33H2057_E319_A-4-600x600.png,50,green,https://www.scout.mk/product/man-jacket-hybrid-33h2057/,5790,5790,МКД,maski
Man Jacket Rain Fix Hood 32X5807,"Хардшел Јакна,
Ветроодбивна и водоотпорна јакна. Водоотпорност 5 000WP
Се пакува",https://www.scout.mk/wp-content/uploads/2023/04/32X5807_03NL_A-600x600.png,54,navy,https://www.scout.mk/product/man-jacket-rain-fix-hood-32x5807/,2790,2790,МКД,maski
Man Jacket Rain Fix Hood 32X5807,"Хардшел Јакна,
Ветроодбивна и водоотпорна јакна. Водоотпорност 5 000WP
Се пакува",https://www.scout.mk/wp-content/uploads/2024/04/32X5807_03NL_A-4.png,"52, 54, 54, 54","blue, blue, blue, green",https://www.scout.mk/product/man-jacket-rain-fix-hood-32x5807-2/,1953,2790,МКД,maski
Man Jacket Snaps Hood 33K1587,Машка водоотпорна полнета јакна со капуљача,https://www.scout.mk/wp-content/uploads/2024/02/33K1587_E319_A-4-600x600.png,"48, 50, 52, 54, 56","blue, blue, blue, blue, blue",https://www.scout.mk/product/man-jacket-snaps-hood-33k1587/,6590,6590,МКД,maski
Man Jacket Zip Hood 34Z5147,Водоотпорна јакна со капуљача. Соодветна за слоевито облекување при активности на отворено. Мембраната Clima Protect помеѓу ткаенините и целосно залепените шавови гарантираат водоотпорност и дишливост.,https://www.scout.mk/wp-content/uploads/2024/04/34Z5147_E452_A-4.png,"48, 50, 52, 52, 54, 56","green, grey, grey, grey, grey, grey",https://www.scout.mk/product/man-jacket-zip-hood-34z5147/,5490,5490,МКД,maski
Man Jacket Zip Hood 39A5027,"Водоотпорна Софтшел Јакна
Изработена од лесен софтшел материјал
Водоотпорност: 8.000mm
Дишливост: 3.000mm",https://www.scout.mk/wp-content/uploads/2023/04/39A5027_12EN_A-600x600.png,"48, 48, 50, 50, 52, 54","black, black, black, black, lime, orange",https://www.scout.mk/product/man-jacket-zip-hood-39a5027/,5590,5590,МКД,maski
Man Jacket Zip Hood 39A5027,"Водоотпорна Софтшел Јакна
Изработена од лесен софтшел материјал
Водоотпорност: 8.000mm
Дишливост: 3.000mm",https://www.scout.mk/wp-content/uploads/2024/04/39A5027_E336_A.png,"48, 48, 50, 50, 50, 50, 52, 52, 54, 54","black, black, black, black, blue, blue, blue, green, green, lime",https://www.scout.mk/product/man-jacket-zip-hood-39a5027-2/,3913,5590,МКД,maski
Man Jacket Zip Hood 3A01787N,"Водоотпорна Софтшел Јакна
Изработена од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 1.000mm",https://www.scout.mk/wp-content/uploads/2023/11/3A01787N_02LP_A-4-600x600.png,"48, 50, 50, 50, 52, 54","black, black, black, black, black, grey",https://www.scout.mk/product/man-jacket-zip-hood-3a01787n/,4990,4990,МКД,maski
Man Jacket Zip Hood 3A40537N,"Водоотпорна Софтшел Јакна
Изработена од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 1.000mm",https://www.scout.mk/wp-content/uploads/2024/02/3A40537N_U901_A-6-600x600.png,"48, 50, 52, 54, 56, 58","black, black, black, black, black, black",https://www.scout.mk/product/man-jacket-zip-hood-3a40537n/,6190,6190,МКД,maski
MAN JACKET ZIP HOOD DETACHABLE INN.JACKET,"Машка јакна
Водоотпорна и ветероотпорна",https://www.scout.mk/wp-content/uploads/2025/02/32Z1837D_10TP_A-6.png,"48, 48, 48, 50, 50, 50, 52, 52, 54, 54, 56, 56, 56, 58, 58, 58","black, black, black, black, black, grey, grey, grey, grey, grey, navy, navy, navy, navy, navy, navy",https://www.scout.mk/product/man-jacket-zip-hood-detachable-inn-jacket/,7390,7390,МКД,maski
Man Jacket Zip Hood Detachable Inn.Jacket 32Z1837D,"Јакна 3во1
Составена од водоотпорен Hardshell со целосно залепени шавови
Водоотпорност: 5.000mm
Дишливост:3.000mm
Внатрешен топол и дишлив плетен флис",https://www.scout.mk/wp-content/uploads/2024/02/32Z1837D_10TP_A-5-600x600.png,54,orange,https://www.scout.mk/product/man-jacket-zip-hood-detachable-inn-jacket-32z1837d/,8590,8590,МКД,maski
MAN LONG PANT,Машки спортски долги панталони,https://www.scout.mk/wp-content/uploads/2025/02/3A01487-N_U901_A-600x600.jpg,"48, 54","black, black",https://www.scout.mk/product/man-long-pant/,4290,4290,МКД,maski
Man Long Pant 30T6877,"Панталони, брзосушечки и четиринасочно растегливи",https://www.scout.mk/wp-content/uploads/2023/04/30T6877_41UG_A-5-600x600.jpg,52,grey,https://www.scout.mk/product/man-long-pant-30t6877/,4790,4790,МКД,maski
Man Long Pant 31T5617,"Панталони, брзосушечки и четиринасочно растегливи",https://www.scout.mk/wp-content/uploads/2024/04/31T5617_N950_A-10.png,"48, 50, 50, 52, 52","blue, blue, blue, grey, grey",https://www.scout.mk/product/man-long-pant-31t5617/,3490,3490,МКД,maski
Man Long Pant 33T6627,"Панталони од растеглив материјал дизајнирани за активности на отворено со висок интензитет. Технологијата Dry Function го помага испарувањето на потта и природната терморегулација на телото, додека рестегливоста гарантира удобност и слобода на движење.",https://www.scout.mk/wp-content/uploads/2024/04/33T6627-U423-5.jpg,"50, 52, 54, 56","grey, grey, grey, grey",https://www.scout.mk/product/man-long-pant-33t6627/,4590,4590,МКД,maski
Man Long Pant 34T7667,"Машки планинарски панталони изработени од удобен, растеглив материјал во 4 насоки, кој совршено се прилагодува на телото додека планинарите на нерамен терен. Технологијата Dry-Function го олеснува испарувањето на влагата и обезбедува природна терморегулација.",https://www.scout.mk/wp-content/uploads/2024/04/34T7667_U423_A-5.png,52,grey,https://www.scout.mk/product/man-long-pant-34t7667/,4790,4790,МКД,maski
Man Pant 30A1477,Машки софтшел панталони погодни за различни временски услови. Со својата Clima-Protect мембрана која овозможува водоотпорност: 7.000mm и дишливост: 3.000 > g/m²/24h,https://www.scout.mk/wp-content/uploads/2024/02/30A1477_E319_A-4-600x600.png,"48, 52","blue, blue",https://www.scout.mk/product/man-pant-30a1477/,5490,5490,МКД,maski
MAN PANT 30T2517,"Панталони, брзосушечки и четиринасочно растегливи",https://www.scout.mk/wp-content/uploads/2023/11/30T2517_U901_A-600x600.jpg,54,black,https://www.scout.mk/product/man-pant-30t2517/,6190,6190,МКД,maski
Man Pant 3C89177T,"Мултифункционални стреч 3/4 бермуди, брзосушечки и изработени од полиестер и еластин",https://www.scout.mk/wp-content/uploads/2021/02/3C89177T_05NG_A-600x600.jpg,52,navy,https://www.scout.mk/product/man-pant-3c89177t/,1790,1790,МКД,maski
Man Shirt 30T9927,"Техничка Кошула
Лесна, изработена од полиестер, со технологија против мирис од потење, со УВ 30",https://www.scout.mk/wp-content/uploads/2024/04/30T9927_32ZR_A-8.png,"48, 50, 54, 56","blue, blue, blue, blue",https://www.scout.mk/product/man-shirt-30t9927/,2590,2590,МКД,maski
Man Shirt 32T1757,"Кошула
изработена од полиестер",https://www.scout.mk/wp-content/uploads/2022/12/32T1757_24NM_A-600x600.png,"48, 50, 52, 54, 56, 56","grey, grey, grey, grey, grey, navy",https://www.scout.mk/product/man-shirt-32t1757/,4290,4290,МКД,maski
Man Short With Inner Mesh Slip 3C89077T,"Мултифинкционални бермуди поставени со мрежа, изработени од полиестер",https://www.scout.mk/wp-content/uploads/2021/02/3C89077T_M974_C-600x600.jpg,"48, 50","black, black",https://www.scout.mk/product/man-short-with-inner-mesh-slip-3c89077t/,1990,1990,МКД,maski
MAN SWEAT 3G28037,Машки дебел полар,https://www.scout.mk/wp-content/uploads/2023/11/3G28037N_U423_A-600x600.png,"50, 58","grey, grey",https://www.scout.mk/product/man-sweat-3g28037/,1890,1890,МКД,maski
Man Sweat 3G28037N,Машки флис од рециклиран материјал,https://www.scout.mk/wp-content/uploads/2024/02/3G28037N_C580_A-7-600x600.png,"48, 54, 56","black, black, blue",https://www.scout.mk/product/man-sweat-3g28037n/,1890,1890,МКД,maski
Man T-Shirt 33N6677,"Техничка Маица
Лесна, изработена од полиестер, со технологија против мирис од потење, со УВ 30",https://www.scout.mk/wp-content/uploads/2024/04/33N6677_36CR_A-5.png,"48, 50, 54","blue, lime, lime",https://www.scout.mk/product/man-t-shirt-33n6677/,1253,1790,МКД,maski
Man T-Shirt 33N6687,Маица од полиестер со мрежести сегменти за оптимална вентилација. Технологијата Dry Function ефикасно ја испарува потта за да го одржи телото суво и ги намалува непријатните мириси.,https://www.scout.mk/wp-content/uploads/2024/04/33N6687_E772_A-4.png,"50, 52, 54","blue, blue, blue",https://www.scout.mk/product/man-t-shirt-33n6687/,1990,1990,МКД,maski
Man Top 33N6697,"Синглет маица без ракави од полиестер со мрежести сегменти за подобра вентилација. Технологијата Dry Function помага потта да испари, одржувајќи го телото суво, и ве штити од непријатни миризби",https://www.scout.mk/wp-content/uploads/2024/04/33N6697_36CR_A-3.png,"48, 48, 50, 50, 52","lime, lime, lime, orange, orange",https://www.scout.mk/product/man-top-33n6697/,1990,1990,МКД,maski
Man Vest 33N6457,"Ветероодбивен Елек,
Се пакува и има рефлектирачки делови",https://www.scout.mk/wp-content/uploads/2023/04/33N6457_U901_A-600x600.png,"48, 50, 52","black, black, black",https://www.scout.mk/product/man-vest-33n6457/,3490,3490,МКД,maski
Man Zip Off Pant 31T5627,"2во1 Панталони (Зип-Оф), четиринасочно растегливи, со патент се претвораат во бермуди",https://www.scout.mk/wp-content/uploads/2024/04/31T5627_E452_A-8.png,52,green,https://www.scout.mk/product/man-zip-off-pant-31t5627/,3990,3990,МКД,maski
MARIZION BW M,Елек,https://www.scout.mk/wp-content/uploads/2024/12/RMB135-4G9.jpg,"l, m, xl, xxl","brown, brown, brown, brown",https://www.scout.mk/product/marizionbw-m-rmb135/,4290,4290,МКД,maski
MELODIC II W,"Кратки панталони од растеглив материјал, водоодбивни, со прилагодлив струк и повеќе џебови",https://www.scout.mk/wp-content/uploads/2024/08/dwj412-5tn_01.jpg,"10, 12, 16, 8","black, black, black, black",https://www.scout.mk/product/melodic-ii-w-dwj412/,3990,3990,МКД,maski
Mens Down Jacket 1279P-8VX-99,"Супер лесна и полнета јакна
Лице: 100% најлон
Постава: 100% најлон
Полнење: 90% пердув 10% даун пердув",https://www.scout.mk/wp-content/uploads/2022/09/1279P-8VX-99-600x600.jpg,56,black,https://www.scout.mk/product/mens-down-jacket-1279p-8vx-99/,17990,17990,МКД,maski
MINDANO VIII W,"Кошула со кратки ракави. Изработена од издржлива ткаенина, гарантира долготрајно носење и ефикасно ја исфрла влагата на површината, брзо сушлива. Комплетирана со UV30+ заштита, нуди дополнителна одбрана од сончевите зраци.",https://www.scout.mk/wp-content/uploads/2024/08/RWS163-DCC-36-600x600.jpg,"10, 12, 8","violet, violet, violet",https://www.scout.mk/product/mindano-viii-w-rws163/,2490,2490,МКД,maski
ORTLES BALACLAVA,Ветероодбивна и дишлива балаклава,https://www.scout.mk/wp-content/uploads/2020/11/26816-910-600x600.jpg,"l, m","black, black",https://www.scout.mk/product/ortles-ws-balaclava-26816/,2990,2990,МКД,maski
ORTLES DST M,"Панталони за алпско планинарење изработени од рециклиран полиамид и природна мерино волна, има DWR (издржлив водоотпорен) финиш и Durastretch за дополнителна отпорност на карпите",https://www.scout.mk/wp-content/uploads/2024/01/28464-0910-600x600.jpg,"2x, l, m","black, black, black",https://www.scout.mk/product/ortles-dst-m-28464/,19390,19390,МКД,maski
ORTLES GTX 3L M,"Лесна водоотпорна и издржлива 3 слојна јакна Водоотпорност: 28.000 mm
Дишливост: 9.000 > g/m²/24h",https://www.scout.mk/wp-content/uploads/2022/10/28454-8620-600x600.jpg,"l, m","black, black",https://www.scout.mk/product/ortles-gtx-3l-m-jacket-28454/,24990,24990,МКД,maski
ORTLES GTX GLOVES,"Водоотпорни, дишливи и многу топли ракавици
Надворешно обложени со GORE-TEX®, од вантрешната страна на дланката обложени дополнително со козја кожа (високоотпорна на абразија)",https://www.scout.mk/wp-content/uploads/2020/11/26094-910-600x600.jpg,"m, xl","black, black",https://www.scout.mk/product/ortles-gtx-warm-gloves-26094/,11990,11990,МКД,maski
ORTLES PTX 3L OVERMITTEN,"Водоотпорни, ветероодбивни и дишливи ракавици
Со мека внатрешност и појување на дланката",https://www.scout.mk/wp-content/uploads/2020/12/26434-910-600x600.jpg,"l, m, xl","black, black, black",https://www.scout.mk/product/ortles-ptx-3l-overmitten-26434/,5990,5990,МКД,maski
ORTLES PTX GLOVES,"Ракавици за алпинисти и планински авантуристи со Powertex Performance мембрана 8000мм, топла цврста и дишлива со козја кожа на дланките",https://www.scout.mk/wp-content/uploads/2022/03/27996-0910-600x600.jpg,l,black,https://www.scout.mk/product/ortles-ptx-gloves-27996/,6190,6190,МКД,maski
ORTLES PTX GLOVES M,"Ракавици за алпинисти и планински авантуристи со Powertex Performance мембрана, топла цврста и дишлива со козја кожа на дланките и 40% волна",https://www.scout.mk/wp-content/uploads/2023/01/28531-911-600x600.jpg,8-m,black,https://www.scout.mk/product/ortles-ptx-gloves-m-28531/,7990,7990,МКД,maski
Övik Lite Shirt SS F87038,Дишлива кошула со удобност прилагодена за патување и секојдневна употреба во топла клима.,https://www.scout.mk/wp-content/uploads/2024/03/Ovik_Lite_Shirt_SS_M_87038-520_A_MAIN_FJR-6-600x600.png,"l, m, m, xl, xl","blue, blue, green, green, green",https://www.scout.mk/product/ovik-lite-shirt-ss-f87038/,5590,5590,МКД,maski
PACER T-SHIRT M,"Мултифункционална стреч маица, дишлива и лесна изработена од полиестер",https://www.scout.mk/wp-content/uploads/2025/04/P73322614.jpeg,"l, m, m, s","blue, blue, blue, red",https://www.scout.mk/product/pacer-t-shirt-m/,3690,3690,МКД,maski
PACER TANK M,"Лесна маичка, мека на кожата со Polygiene® за повеќе да се носи и помалку да се мие.",https://www.scout.mk/wp-content/uploads/2025/04/P72735322.jpeg,"l, l, m, m, s","black, black, black, green, green",https://www.scout.mk/product/pacer-tank-m/,3090,3090,МКД,maski
PACK IT JKT III M,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 5.000 mm
Дишливост: 5.000 > g/m²/24h
Непоставена",https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMW281_15_P_A.jpg,"l, m, xxl","blue, blue, red",https://www.scout.mk/product/pack-it-jkt-iii-m-rmw281/,2990,2990,МКД,maski
PACK IT O/TRS,Машки спортски панталони,https://www.scout.mk/wp-content/uploads/2025/02/RMW149_800_P_1-4-600x600.jpg,"l, m, xl, xxl","black, black, black, black",https://www.scout.mk/product/pack-it-o-trs/,2190,2190,МКД,maski
PANORAMA PILE JACKET,Мек и топол флис. Погоден за самостално користење во потопли денови и како мидлејер во постудените.,https://www.scout.mk/wp-content/uploads/2023/12/49434-658-600x600.jpg,m,grey,https://www.scout.mk/product/panorama-pile-jacket-49434_658/,8190,8190,МКД,maski
PEDROC 3 CARGO SHORTS M,"Софтшел Кратки Панталони
Ветероотпорни, водоодбивни и стреч
Изработени од лесен и дишлив и растеглив материјал",https://www.scout.mk/wp-content/uploads/2023/07/28601-0910-600x600.png,"l, m, m, m","black, black, blue, blue",https://www.scout.mk/product/pedroc-3-dst-m-cargo-shorts-28601/,5890,5890,МКД,maski
